Animal_ID	Colony	Sex	MinimumAgeYrs
GSO-102-a	LC	F	3.43561643835616
GSO-69-q	LC	F	0.72054794520548
GSO-99-p	LC	F	3.4
GSO-90-n	LC	M	0.72054794520548
GSO-66-m	LC	F	5.55890410958904
GSO-93-k	LC	F	5.55890410958904
GSO-121-h	LC	F	3.05753424657534
GSO-63-g	GC	M	
GSO-19-f	GC	M	
GSO-94-e	GC	M	
GSO-86-d	GC	M	
GSO-88-c	LC	F	4.58904109589041
GSO-80-b	LC	F	6.83835616438356
GSO-71-a	LC	F	7.38082191780822
GSO-131-q	LC	F	7.35890410958904
GSO-12-p	GC	M	
GSO-53-n	LC	F	2.89041095890411
GSO-72-m	LC	F	6.83835616438356
GSO-103-k	LC	M	1.97260273972603
GSO-101-h	LC	F	6.86849315068493
GSO-83-g	LC	F	7.55342465753425
GSO-58-f	GC	F	
GSO-15-e	GC	F	
GSO-26-d	GC	F	
GSO-59-c	GC	F	
GSO-142-b	LC	F	7.35890410958904
GSO-1-a	LC	F	5.55890410958904
GSO-10-q	LC	F	5.55890410958904
GSO-143-p	LC	F	4.58904109589041
GSO-104-n	LC	M	2.58356164383562
GSO-60-m	LC	F	7.51780821917808
GSO-64-k	LC	F	0.72054794520548
GSO-124-h	LC	F	5.55890410958904
GSO-134-g	LC	F	5.55890410958904
GSO-17-f	LC	F	1.27945205479452
GSO-31-e	GC	M	
GSO-138-d	GC	M	
GSO-97-c	GC	M	
GSO-123-b	GC	M	
GSO-139-a	GC	M	
GSO-114-q	LC	F	2.89041095890411
GSO-95-p	LC	F	5.41095890410959
GSO-91-n	LC	F	4.6
GSO-29-m	LC	F	4.58904109589041
GSO-23-k	LC	F	7.40821917808219
GSO-48-h	LC	F	3.4
GSO-109-g	LC	F	5.55890410958904
GSO-13-f	LC	F	4.58904109589041
GSO-81-e	LC	F	2.58356164383562
GSO-75-d	LC	F	7.52054794520548
GSO-92-c	GC	M	
GSO-116-b	GC	F	
GSO-128-a	GC	M	
GSO-65-q	GC	F	
GSO-78-p	GC	M	
GSO-22-n	GC	F	
GSO-18-m	GC	M	
GSO-45-k	GC	F	
GSO-2-h	GC	M	
GSO-141-g	GC	F	
GSO-32-f	LC	F	6.86849315068493
GSO-24-e	LC	F	2.89041095890411
GSO-6-d	LC	F	1.80821917808219
GSO-118-c	LC	F	5.55890410958904
GSO-140-b	LC	M	1.97260273972603
GSO-39-a	LC	F	2.22465753424658
GSO-130-q	LC	F	5.55890410958904
GSO-25-p	LC	M	5.55890410958904
GSO-112-n	LC	F	6.83835616438356
GSO-40-m	LC	F	5.55890410958904
GSO-120-k	GC	M	
GSO-87-h	GC	F	
GSO-125-g	GC	M	
GSO-115-f	GC	F	
GSO-28-e	GC	M	
GSO-20-d	GC	F	
GSO-111-c	GC	M	
GSO-38-b	GC	M	
GSO-42-a	GC	F	
GSO-136-q	GC	F	
GSO-70-p	LC	F	5.27123287671233
GSO-35-n	LC	F	7.35890410958904
GSO-84-m	LC	F	7.52054794520548
GSO-33-k	LC	M	5.55890410958904
GSO-133-h	LC	M	2.23561643835616
GSO-44-g	LC	F	4.58904109589041
GSO-89-f	LC	F	5.55890410958904
GSO-126-e	LC	M	2.89041095890411
GSO-137-d	LC	M	4.58630136986301
GSO-34-c	LC	M	5.55890410958904
GSO-110-b	LC	F	5.55890410958904
GSO-105-a	LC	F	1.80821917808219
GSO-37-q	LC	F	5.41095890410959
GSO-79-p	LC	M	5.55890410958904
GSO-73-n	LC	F	0.72054794520548
GSO-7-m	GC	F	
GSO-106-h	GC	F	
GSO-74-k	GC	F	
GSO-21-g	GC	F	
GSO-51-e	LC	F	7.38082191780822
GSO-85-f	GC	F	
GSO-14-d	LC	F	2.22465753424658
GSO-43-c	LC	M	4.58904109589041
GSO-129-b	LC	M	8.24109589041096
GSO-68-a	LC	F	1.27945205479452
